GoF  SOIL__N  SOIL__LOG10_Alpha  SOIL__ThetaSat  SOIL__ThetaRes  SOIL__LOG10_NormalHydrConductivity  SCALAR__SoilRoughness  SCALAR__LSAI  SCALAR__CanopyFraction  SCALAR__DecayCoeffCanopy  SCALAR__RootDepth  SCALAR__MinStomatalRes  SCALAR__VegReflectVis  SCALAR__VegReflNIR  SCALAR__VegTransVis  SCALAR__VegTransNIR  SCALAR__CanDensSurface  SCALAR__SoilAlbVisDry  SCALAR__SoilAlbNIRDry  SCALAR__SoilAlbVisWet  SCALAR__SoilAlbNIRWet  SCALAR__SoilEmissiv
 6.771479e+02   1.150000e+00  -3.259286e+00   6.713255e-01   5.898497e-02  -1.697620e+00   2.872596e+02   7.278343e-01   4.985627e-01   2.654617e+01   7.161784e+02   8.955005e+01   9.511466e-02   1.246974e-01   3.990688e-02   4.175588e-01   7.199550e+00   9.614639e-02   1.429044e-01   1.096530e-01   5.000000e-02   8.548500e-01
 6.788833e+02   1.150000e+00  -3.279852e+00   6.607162e-01   6.678271e-02  -2.046677e+00   2.591224e+02   5.698253e-01   3.400406e-01   2.910157e+01   9.499289e+02   8.501356e+01   1.203406e-01   1.550112e-01   9.153552e-02   1.740978e-01   7.154653e+00   6.932568e-02   3.001217e-01   8.238970e-02   6.789922e-02   8.566795e-01
 6.799781e+02   1.171745e+00  -3.301030e+00   6.644956e-01   6.207536e-02  -1.926250e+00   1.212249e+02   7.014035e-01   4.485842e-01   2.272311e+01   9.315255e+02   8.776373e+01   1.079363e-01   1.405761e-01   4.724205e-02   3.896724e-01   6.753856e+00   1.085469e-01   1.958650e-01   1.241705e-01   5.880098e-02   8.861914e-01
 6.811027e+02   1.235200e+00  -3.282776e+00   6.768797e-01   5.707951e-02  -2.358605e+00   2.584326e+02   7.590956e-01   2.857394e-01   2.122012e+01   9.589830e+02   9.246288e+01   1.067609e-01   1.223288e-01   8.981907e-02   3.941265e-01   7.572135e+00   1.921895e-01   1.391555e-01   6.611887e-02   2.424843e-01   8.329865e-01
 6.812226e+02   1.150000e+00  -3.301030e+00   6.155784e-01   6.638571e-02  -1.989067e+00   2.564523e+02   4.488160e-01   3.235099e-01   2.104172e+01   7.041144e+02   9.092868e+01   1.154975e-01   1.090902e-01   1.108582e-01   3.146940e-01   6.712466e+00   1.187531e-01   1.798270e-01   9.041120e-02   2.588098e-01   8.543045e-01
 6.864719e+02   1.160913e+00  -3.032015e+00   6.288712e-01   6.230344e-02  -9.202560e-01   2.382299e+02   4.736255e-01   1.469408e-01   1.337769e+01   8.106369e+02   8.434730e+01   7.865325e-02   2.907619e-01   6.671857e-02   4.230303e-01   6.370369e+00   6.983367e-02   1.668698e-01   5.000000e-02   3.881216e-01   8.825994e-01
 6.828194e+02   1.169302e+00  -3.091999e+00   6.566267e-01   4.943617e-02  -1.815275e+00   2.668648e+02   8.516524e-01   3.654037e-01   5.717880e+01   7.776911e+02   1.000000e+02   9.050497e-02   2.434651e-01   1.262562e-01   3.372219e-01   3.224250e+00   2.006044e-01   5.692463e-02   2.317957e-01   1.343403e-01   8.537916e-01
 6.828222e+02   1.225960e+00  -3.301030e+00   6.523787e-01   6.799183e-02  -2.126198e+00   3.622869e+02   7.659342e-01   4.055469e-01   1.387813e+01   9.010731e+02   6.842003e+01   7.596791e-02   1.953985e-01   5.214743e-02   4.733661e-01   6.139914e+00   6.764383e-02   2.974051e-01   1.099538e-01   1.646930e-01   8.382074e-01
 6.782973e+02   1.150000e+00  -3.213355e+00   6.125763e-01   7.646825e-02  -1.488978e+00   2.527061e+02   5.115346e-01   4.256701e-01   3.924719e+01   8.726977e+02   6.829173e+01   1.084687e-01   6.844835e-02   7.745440e-02   2.690760e-01   6.739329e+00   1.061553e-01   1.012263e-01   7.299370e-02   5.000000e-02   8.198030e-01
 6.776101e+02   1.150000e+00  -3.159640e+00   6.533965e-01   5.799162e-02  -1.972840e+00   2.875420e+02   7.360250e-01   3.786013e-01   2.162728e+01   9.978395e+02   9.430232e+01   1.075312e-01   9.147836e-02   4.840454e-02   4.625867e-01   8.000000e+00   1.299937e-01   1.265702e-01   5.000000e-02   2.131482e-01   8.179117e-01
