GoF  SOIL__N  SOIL__LOG10_Alpha  SOIL__ThetaSat  SOIL__ThetaRes  SOIL__LOG10_NormalHydrConductivity  SCALAR__SoilRoughness  SCALAR__LSAI  SCALAR__CanopyFraction  SCALAR__DecayCoeffCanopy  SCALAR__RootDepth  SCALAR__MinStomatalRes  SCALAR__VegReflectVis  SCALAR__VegReflNIR  SCALAR__VegTransVis  SCALAR__VegTransNIR  SCALAR__CanDensSurface  SCALAR__SoilAlbVisDry  SCALAR__SoilAlbNIRDry  SCALAR__SoilAlbVisWet  SCALAR__SoilAlbNIRWet  SCALAR__SoilEmissiv
 5.221771e+02   1.150000e+00  -2.971184e+00   5.563663e-01   6.522446e-02  -1.608786e+00   1.000000e+01   1.810670e-01   2.876082e-01   4.934456e+01   8.623592e+02   4.985056e+01   8.675991e-02   2.733892e-01   1.500000e-01   2.948125e-01   6.039565e+00   1.041229e-01   5.000000e-02   2.433335e-01   1.308178e-01   8.182003e-01
 5.168296e+02   1.150000e+00  -2.673920e+00   4.626387e-01   6.127627e-02  -2.034672e+00   2.074913e+02   1.934033e-01   8.602721e-01   7.905313e+00   3.112218e+02   2.430569e+01   1.501804e-01   1.635123e-01   1.436709e-01   7.517051e-02   2.454773e+00   1.621751e-01   6.373306e-02   1.140346e-01   1.844128e-01   8.228973e-01
 5.168931e+02   1.205249e+00  -2.724389e+00   4.449344e-01   5.535801e-02  -1.749975e+00   1.107021e+01   1.757026e-01   8.884121e-01   2.792508e+00   3.724520e+02   4.307078e+01   1.265377e-01   9.445164e-02   9.883538e-02   1.127721e-01   4.790286e+00   1.533999e-01   1.626761e-01   9.741464e-02   1.569123e-01   8.120933e-01
 5.276200e+02   1.472124e+00  -2.370711e+00   5.332411e-01   6.608567e-02  -2.165489e+00   1.529628e+02   4.192126e-01   8.239301e-01   7.872148e+00   4.878285e+02   1.711565e+01   1.649558e-01   2.032163e-01   5.062956e-02   1.991712e-01   4.575825e+00   1.086192e-01   2.038126e-01   3.087506e-01   5.000000e-02   8.080199e-01
 5.190231e+02   1.194762e+00  -2.738225e+00   4.997664e-01   6.706352e-02  -1.898508e+00   3.643498e+01   1.928854e-01   8.679499e-01   4.511639e+00   4.632444e+02   6.481707e+01   1.171428e-01   1.018363e-01   9.891084e-02   1.722764e-01   3.600011e+00   1.518611e-01   2.023059e-01   7.490291e-02   1.529843e-01   8.288021e-01
 5.213292e+02   1.184822e+00  -2.641232e+00   5.987126e-01   6.465602e-02  -1.588582e+00   1.000000e+01   9.156328e-01   5.166184e-02   1.632553e+01   6.584612e+02   5.982952e+01   1.174612e-01   8.765080e-02   1.202705e-01   3.734920e-01   5.239760e+00   2.072560e-01   1.004513e-01   1.494052e-01   2.956170e-01   8.062652e-01
 5.187627e+02   1.259311e+00  -2.766561e+00   5.112410e-01   5.819679e-02  -1.525160e+00   1.187319e+02   2.760408e-01   8.490922e-01   5.251879e+00   3.892333e+02   4.736509e+01   1.591812e-01   1.527548e-01   1.114149e-01   9.816886e-02   2.920464e+00   1.657977e-01   1.715372e-01   7.800954e-02   1.805284e-01   8.139825e-01
 5.202798e+02   1.181504e+00  -2.805360e+00   4.827796e-01   5.516973e-02  -2.667068e+00   6.575521e+01   2.232507e-01   6.075887e-01   3.951253e+00   1.041643e+02   1.626222e+01   2.000000e-01   9.575040e-02   1.393286e-01   1.227783e-01   1.806135e+00   1.215675e-01   1.307900e-01   1.394050e-01   1.891207e-01   8.000000e-01
 5.168875e+02   1.198206e+00  -2.724382e+00   4.832945e-01   5.439077e-02  -1.953971e+00   3.911016e+01   2.642530e-01   9.256742e-01   4.618904e+00   4.000501e+02   4.583369e+01   1.559263e-01   7.501825e-02   1.013471e-01   9.615978e-02   3.130532e+00   1.251224e-01   2.292829e-01   8.861664e-02   1.270271e-01   8.000000e-01
 5.193097e+02   1.150000e+00  -2.747152e+00   4.480873e-01   6.122663e-02  -2.689402e+00   1.000000e+01   2.849330e-01   6.308861e-01   4.130804e+00   3.183860e+02   1.110972e+01   1.965763e-01   8.995108e-02   1.418179e-01   1.199135e-01   2.549541e+00   1.387425e-01   1.254521e-01   1.640978e-01   1.898179e-01   8.101861e-01
